       deg       rad       sin       cos
    ------    ------    ------    ------
         0         0         0         1
        10    0.1745    0.1736    0.9848
        20    0.3491     0.342    0.9397
        30    0.5236       0.5     0.866
        40    0.6981    0.6428     0.766
        50    0.8727     0.766    0.6428
        60     1.047     0.866       0.5
        70     1.222    0.9397     0.342
        80     1.396    0.9848    0.1736
        90     1.571         1 6.123e-17
       100     1.745    0.9848   -0.1736
       110      1.92    0.9397    -0.342
       120     2.094     0.866      -0.5
       130     2.269     0.766   -0.6428
       140     2.443    0.6428    -0.766
       150     2.618       0.5    -0.866
       160     2.793     0.342   -0.9397
       170     2.967    0.1736   -0.9848
       180     3.142 1.225e-16        -1
       190     3.316   -0.1736   -0.9848
       200     3.491    -0.342   -0.9397
       210     3.665      -0.5    -0.866
       220      3.84   -0.6428    -0.766
       230     4.014    -0.766   -0.6428
       240     4.189    -0.866      -0.5
       250     4.363   -0.9397    -0.342
       260     4.538   -0.9848   -0.1736
       270     4.712        -1-1.837e-16
       280     4.887   -0.9848    0.1736
       290     5.061   -0.9397     0.342
       300     5.236    -0.866       0.5
       310     5.411    -0.766    0.6428
       320     5.585   -0.6428     0.766
       330      5.76      -0.5     0.866
       340     5.934    -0.342    0.9397
       350     6.109   -0.1736    0.9848
       360     6.283-2.449e-16         1
